Video title,Views,Average view duration,Ad impressions,Impressions,Impressions click-through rate (%),CPM (USD),RPM (USD),Estimated revenue (USD)
THRIVE - Planet Classroom Podcast Ep.21,633,0:01:31,0,200,2.5,,0,0
Girl up and Change the World - Planet Classroom Podcast Ep.23,631,0:01:36,0,192,4.69,,0,0
'Desa Timun (The Cucumber Village)' Trailer,613,0:00:17,0,4665,6.8,,0.016,0.01
What Can the World Learn from Iceland about Globalization? - Planet Classroom Podcast Ep.15,607,0:01:10,0,83,3.61,,0,0
SHINE a Light on Protecting Our Planet - Planet Classroom  Podcast Ep. 19,561,0:01:55,0,173,1.16,,0,0
Unity is Our Hope for the Future -  Planet Classroom Podcast Ep. 1,555,0:01:42,2,67,1.49,2,0.004,0.002
We Can Be Heroes - Planet Classroom Podcast Ep.14,525,0:01:14,0,81,1.23,,0,0
Net Zero #2 - Youth Monitor the Green Transition - Planet Classroom Podcasts Ep. 27,514,0:01:23,3,8,62.5,5.333,0.018,0.009
Climate Can’t Wait - Planet Classroom Podcast Ep. 7,509,0:01:34,0,71,4.23,,0,0
The Earth Day Special - Planet Classroom Podcast Ep.10,498,0:01:19,4,75,4,1.25,0.006,0.003
MENTAL HEALTH IS ON OUR MINDS - Planet Classroom Podcasts Ep.25,424,0:01:19,0,63,4.76,,0,0
A Boy's Best Friend,382,0:01:27,12,844,4.5,2.583,0.055,0.021
"Introduction to Planet Classroom - Launching January 4, 2021",350,0:00:17,159,2914,8.72,1.711,0.429,0.15
Lacking,330,0:01:27,29,2255,0.71,2.138,0.103,0.034
'Mangroves and Deforestation' Trailer,310,0:00:15,0,735,0.54,,0.081,0.025
Learning for Justice - Planet Classroom Podcast - Ep.12,301,0:00:42,0,78,0,,0,0
The White Rose,270,0:01:15,0,1359,2.35,,0.007,0.002
"Healthy People, Healthy Planet - Planet Classroom Podcast Ep.13",260,0:00:42,0,103,0.97,,0,0
'The Humanitarian Crisis in Yemen' Trailer,257,0:00:11,0,1552,0.77,,0.043,0.011
'3D Printing' Short,222,0:00:14,0,362,0.28,,0.113,0.025
Net Zero,211,0:00:21,0,409,1.22,,0,0
'Leonard and Kevin' Trailer,204,0:00:11,0,809,1.73,,0.083,0.017
Hold the Sun in Your Hands: The Erika Jacoby Story,202,0:01:25,0,327,4.59,,0,0
Ending Wars,186,0:00:14,0,278,4.68,,0,0
Kenya's Symphony,168,0:02:28,138,574,11.32,7.319,3.333,0.56
'How Can We Save the Amazon Rainforest?' Trailer,163,0:00:12,0,2621,1.45,,0.031,0.005
Net Zero Speaks with Kim Holmén,149,0:02:24,54,516,6.98,4.037,0.805,0.12
Team Marine,148,0:03:02,0,492,5.28,,0,0
What Progress Has Been Made on Energy Storage and Climate Change?,144,0:01:35,4,186,5.38,1,0.014,0.002
'Hello Frisco' Trailer,143,0:00:14,0,1984,0.5,,0.077,0.011
Introducción a Planet Classroom: lanzamiento el 4 de enero de 2021,143,0:00:15,5,765,18.56,1.2,0.021,0.003
Give Us Hope for the #CallToUnite - Young People's Chorus of New York City,139,0:00:16,10,86,1.16,8.1,0.317,0.044
Black Lives Matter Song for Kids,138,0:02:38,130,227,5.73,3.831,1.986,0.274
"Le Charme, Ernest Chausson",126,0:01:33,36,410,5.85,1.306,0.222,0.028
Material Bodies,125,0:01:55,0,502,6.37,,0,0
Stephen Hawking & Me,124,0:00:14,9,87,1.15,3.222,0.129,0.016
Rhythms of Life,123,0:07:27,104,482,5.19,7.26,3.764,0.463
Olivia's Birds,123,0:02:55,48,495,11.11,5.438,1.171,0.144
'Carol' Trailer,122,0:00:11,0,477,2.94,,0.049,0.006
Net Zero Speaks with Lord Jim Knight,116,0:02:50,22,636,5.03,7,0.733,0.085
Plant for the Planet,115,0:04:44,0,110,4.55,,0,0
Counter Mapping,115,0:00:14,9,76,3.95,2.556,0.113,0.013
Ladder of Inference,114,0:01:59,25,577,5.55,3.24,0.395,0.045
Net Zero Speaks with Daniel Schrag,108,0:02:54,49,2918,2.16,8.265,2.093,0.226
'What Technologies are Helping to Save our Oceans?' Trailer,106,0:00:09,0,1084,1.01,,0.085,0.009
'A Sonic Pulse' Trailer,105,0:00:10,0,1821,0.6,,0.067,0.007
The Last Straw,103,0:02:46,11,372,3.49,2.636,0.155,0.016
Civic Education is the Solution,103,0:01:59,38,700,4.29,1.447,0.553,0.057
Working with Nature to Fight Climate Change,103,0:01:20,0,396,2.78,,0,0
'Ascent' Trailer,100,0:00:12,0,1006,0.7,,0.07,0.007
Amelia (the Twin),98,0:01:18,42,208,2.4,1.571,0.367,0.036
Kids Who Save the World: Clean Air,97,0:01:31,24,407,9.83,5.292,0.722,0.07
Green Ambassadors,95,0:02:26,0,777,10.42,,0,0
Unidentifiable Eye Disorder,89,0:02:25,23,301,6.64,0.957,0.135,0.012
"Sous le ciel de Paris, Hubert Giraud, lyrics of Jean Dréjac",86,0:01:22,36,402,4.48,5.944,0.5,0.043
Bard Baroque Ensemble Concert - Fall 2021,86,0:01:14,16,364,1.65,2.5,0.256,0.022
Aparat,84,0:00:41,0,278,2.88,,0,0
Jingle the Dog,83,0:01:41,0,320,2.81,,0,0
Net Zero Speaks With Sophia Kianni,82,0:01:44,120,1021,3.72,3.7,2.976,0.244
Words Have Power,77,0:02:28,0,298,11.07,,0,0
Slum Dreams,73,0:01:38,0,160,3.75,,0,0
Isle de Jean Charles,72,0:04:07,52,171,10.53,3.173,1.292,0.093
How Can a Smart City Fight Climate Change?,69,0:01:19,40,1031,5.63,2.85,0.928,0.064
Don't Miss These Films in April!,60,0:00:19,8,649,6.01,1,0.083,0.005
'Sebastiana' Trailer,59,0:00:11,0,1498,1.47,,0.034,0.002
We Are Rohingya,57,0:02:41,8,8479,0.52,7.125,0.544,0.031
'Big Data is Tracking You' Trailer,56,0:00:08,0,1667,0.84,,0.018,0.001
